"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Médio";"7";"6";"  31,71";"  33,66";"  25,93";"  25,45";"  27,00";"  25,41";"   23,18";"   25,98";"  23,95";"  21,89";"  15,47";"  13,88";"202210";"15/11/2022 05:40:45"
"OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA (354511)";"Médico Hospitalar";"Pequeno";"50";"57";"   8,84";"   8,77";"   8,74";"   6,57";"   9,51";"  10,23";"   12,40";"   12,37";"  11,60";"  11,55";"   9,39";"   9,40";"202210";"15/11/2022 05:40:45"
"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    6,42";"   5,97";"  11,73";"   5,82";"  17,45";"202210";"15/11/2022 05:40:45"
"ORALCLASS ASSISTENCIA MÉDICA E ODONTOLOGICA LTDA. (402478)";"Médico Hospitalar";"Pequeno";"177";"48";"0,00";"  11,28";"  14,22";"  46,90";"  98,43";" 139,63";"  173,19";"  178,21";" 177,37";" 171,76";" 168,56";" 173,37";"202210";"15/11/2022 05:40:45"
"PARANA ASSISTENCIA MEDICA LTDA (315265)";"Médico Hospitalar";"Médio";"65";"72";"   4,12";"   3,69";"   4,66";"   4,70";"   4,27";"   2,87";"    5,32";"    4,89";"   3,93";"   2,46";"   2,96";"   4,45";"202210";"15/11/2022 05:40:45"
"PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A (350141)";"Médico Hospitalar";"Grande";"77";"77";"   1,45";"   1,62";"   2,42";"   2,15";"   2,74";"   2,68";"    2,98";"    2,37";"   1,83";"   1,99";"   1,70";"   2,20";"202210";"15/11/2022 05:40:45"
"PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE (331988)";"Médico Hospitalar";"Médio";"56";"58";"   5,20";"   4,96";"   4,94";"   4,72";"   5,34";"   5,53";"    6,14";"    6,90";"   6,19";"   7,13";"   8,32";"   9,06";"202210";"15/11/2022 05:40:45"
"PB ASSISTENCIA MEDICA EU LTDA (422584)";"Médico Hospitalar";"Pequeno";"115";"119";"   2,08";"   2,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PERSONAL CARE OPERADORA DE SAÚDE SA (421707)";"Médico Hospitalar";"Pequeno";"177";"72";"0,00";"   5,47";"   5,66";"   5,92";"0,00";"   3,27";"    3,44";"    3,55";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PLADISA PLANOS DE SAÚDE SA (419486)";"Médico Hospitalar";"Pequeno";"176";"166";"   0,51";"   1,04";"   1,05";"   3,15";"   3,16";"   3,69";"    2,64";"    3,70";"   3,73";"   2,13";"   1,61";"   1,08";"202210";"15/11/2022 05:40:45"
"PLAMED PLANO DE ASSISTENCIA MEDICA LTDA (343463)";"Médico Hospitalar";"Médio";"11";"9";"  21,12";"  24,22";"  21,29";"  22,06";"  20,54";"  27,10";"   25,72";"   29,35";"  22,02";"  20,36";"  14,84";"  15,58";"202210";"15/11/2022 05:40:45"
"PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA (413551)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    3,59";"   3,58";"   3,58";"   3,59";"   7,17";"202210";"15/11/2022 05:40:45"
"PLAMER PLANO MEDICO RESENDE LTDA (324299)";"Médico Hospitalar";"Pequeno";"101";"197";"   2,44";"0,00";"0,00";"   1,23";"   1,23";"   1,22";"    1,21";"    1,20";"   1,18";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PLAN SAÚDE LTDA (422771)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"  12,58";"  13,48";"   14,33";"0,00";"0,00";"";"";"";"202210";"15/11/2022 05:40:45"
"PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PLANO DE SAÚDE ANA COSTA LTDA. (360244)";"Médico Hospitalar";"Médio";"70";"62";"   3,65";"   4,37";"   4,45";"   4,58";"   5,78";"   5,49";"    4,38";"    3,61";"   3,29";"   4,04";"   3,29";"   4,61";"202210";"15/11/2022 05:40:45"
"PLANO DE SAUDE ASES LTDA. (411582)";"Médico Hospitalar";"Pequeno";"59";"68";"   6,53";"   6,59";"   4,16";"   4,20";"   1,68";"   2,52";"    5,03";"    9,20";"   7,47";"   8,26";"   6,57";"   9,82";"202210";"15/11/2022 05:40:45"
"PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA (420166)";"Médico Hospitalar";"Médio";"187";"190";"   0,38";"   0,38";"   0,38";"   0,76";"   1,15";"   0,77";"    0,39";"0,00";"   1,16";"   1,55";"   3,87";"   4,27";"202210";"15/11/2022 05:40:45"
"PLANO HOSPITAL SAMARITANO LTDA (411256)";"Médico Hospitalar";"Grande";"50";"60";"   3,62";"   3,50";"   2,51";"   2,20";"   2,32";"   3,25";"    4,03";"    4,17";"   3,94";"   3,38";"   3,10";"   2,72";"202210";"15/11/2022 05:40:45"
"PLANO SAÚDE SÃO FRANCISCO LTDA. (358053)";"Médico Hospitalar";"Pequeno";"88";"102";"   3,21";"   3,21";"   3,21";"0,00";"   3,21";"   6,44";"    6,45";"    3,24";"   3,23";"   6,43";"   9,57";"   6,32";"202210";"15/11/2022 05:40:45"
"PLENA SAÚDE LTDA (348830)";"Médico Hospitalar";"Grande";"24";"26";"   6,90";"   8,03";"   8,34";"   9,24";"   7,85";"   7,99";"    8,37";"   10,22";"   9,57";"   8,63";"   7,43";"   8,57";"202210";"15/11/2022 05:40:45"
"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA (351270)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   1,06";"   1,07";"   1,08";"    1,09";"    1,10";"   1,09";"0,00";"   1,10";"   1,11";"202210";"15/11/2022 05:40:45"
"POLICLIN SAÚDE S/A. (415693)";"Médico Hospitalar";"Médio";"97";"81";"   1,93";"   2,76";"   2,70";"   2,69";"   3,25";"   4,37";"    3,29";"    3,27";"   2,98";"   2,70";"   2,41";"   2,14";"202210";"15/11/2022 05:40:45"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA (316903)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PORTO ALEGRE CLÍNICAS LTDA. (346870)";"Médico Hospitalar";"Médio";"176";"156";"   0,45";"   0,91";"   0,45";"   2,24";"   4,44";"   5,30";"    4,38";"    2,18";"   2,19";"   2,20";"   1,77";"   2,66";"202210";"15/11/2022 05:40:45"
"PORTO DIAS SAUDE LTDA. (415081)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   4,11";"   4,21";"    4,30";"    4,41";"   4,52";"   4,63";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PORTO SEGURO - SEGURO SAÚDE S/A (000582)";"Médico Hospitalar";"Grande";"60";"57";"   3,03";"   3,72";"   3,50";"   3,70";"   3,62";"   3,75";"    3,47";"    3,53";"   3,28";"   3,29";"   3,37";"   3,28";"202210";"15/11/2022 05:40:45"
"PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491)";"Médico Hospitalar";"Pequeno";"23";"197";"  24,21";"0,00";"0,00";"0,00";"  23,20";"  23,24";"   69,93";"   93,53";"  93,75";"  70,64";"  23,18";"  13,97";"202210";"15/11/2022 05:40:45"
"POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS (419133)";"Médico Hospitalar";"Grande";"23";"14";"   7,54";"  11,30";"  11,49";"  10,64";"   8,25";"   8,77";"    8,02";"    8,51";"   7,89";"   9,02";"   9,73";"  10,38";"202210";"15/11/2022 05:40:45"
"PREMIUM SAÚDE S.A. (417823)";"Médico Hospitalar";"Médio";"25";"7";"  10,73";"  13,66";"  18,90";"  22,95";"  25,61";"  25,65";"   23,75";"   30,68";"  36,06";"  34,15";"  24,29";"  13,18";"202210";"15/11/2022 05:40:45"
"PRESERVE SAUDE ASSISTENCIA MEDICA LTDA (422959)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"3";"4";" 204,08";" 204,08";" 408,16";" 408,16";" 561,22";" 560,27";"  508,47";"  406,09";" 152,28";" 152,28";"  50,76";" 152,28";"202210";"15/11/2022 05:40:45"
"PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA (302147)";"Médico Hospitalar";"Grande";"19";"15";"   8,33";"  11,23";"  11,92";"  13,35";"  13,03";"  19,52";"   20,91";"   20,79";"  13,03";"  10,28";"   9,33";"   9,44";"202210";"15/11/2022 05:40:45"
"PROASA - PROGRAMA ADVENTISTA DE  SAÚDE (310522)";"Médico Hospitalar";"Médio";"211";"204";"0,00";"0,00";"   0,33";"   1,32";"   1,32";"   0,99";"    0,66";"    0,66";"   0,66";"0,00";"   0,33";"   0,33";"202210";"15/11/2022 05:40:45"
"PROMED ASSISTENCIA MEDICA LTDA (348805)";"Médico Hospitalar";"Grande";"20";"13";"   8,31";"  11,46";"  15,39";"  20,58";"  24,87";"  27,45";"   21,63";"   15,56";"   8,80";"   8,98";"   8,28";"   8,24";"202210";"15/11/2022 05:40:45"
"PROMED BRASIL ASSISTÊNCIA MÉDICA LTDA. (346471)";"Médico Hospitalar";"Pequeno";"68";"49";"   5,22";"  10,38";"  19,15";"  23,48";"  26,65";"  20,20";"   14,61";"   10,68";"   7,60";"  11,40";"   9,02";"  11,89";"202210";"15/11/2022 05:40:45"
"PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A. (326861)";"Médico Hospitalar";"Médio";"42";"46";"   7,04";"   7,15";"   8,20";"   8,98";"   9,29";"   7,76";"    6,25";"    6,47";"   6,22";"   5,87";"   4,83";"   5,06";"202210";"15/11/2022 05:40:45"
"PRONTO SOCORRO CONDE DE MOREIRA LIMA (417475)";"Médico Hospitalar";"Pequeno";"20";"31";"  25,79";"  19,70";"  10,09";"   3,45";"   3,56";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626)";"Médico Hospitalar";"Pequeno";"52";"58";"   8,70";"   8,57";"   4,69";"   3,71";"   1,83";"   1,81";"0,00";"    0,89";"   1,77";"   2,64";"   3,50";"   2,61";"202210";"15/11/2022 05:40:45"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"113";"98";"   1,60";"   2,08";"   2,36";"   1,45";"   1,23";"   0,50";"    0,50";"    0,75";"   1,25";"   1,25";"   1,26";"   1,76";"202210";"15/11/2022 05:40:45"
"QSAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA. (421669)";"Médico Hospitalar";"Pequeno";"29";"30";"  20,78";"  20,27";"  17,57";"  26,93";"  34,95";"  35,46";"   32,36";"   31,90";"  32,61";"  25,36";"  17,46";"  13,51";"202210";"15/11/2022 05:40:45"
"QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA. (418170)";"Médico Hospitalar";"Médio";"57";"51";"   4,83";"   5,70";"   7,03";"   6,79";"   6,76";"   6,25";"    4,87";"    5,73";"   5,73";"   5,63";"   5,26";"   4,48";"202210";"15/11/2022 05:40:45"
"RBS PARTICIPAÇÕES S/A (418862)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (331317)";"Médico Hospitalar";"Médio";"62";"71";"   4,37";"   3,73";"   3,31";"   5,04";"   6,96";"   8,18";"    7,30";"    6,64";"   5,76";"   5,95";"   4,87";"   4,43";"202210";"15/11/2022 05:40:45"
"RIO DOCE SAÚDE (421359)";"Médico Hospitalar";"Pequeno";"177";"149";"0,00";"   1,34";"   1,36";"   2,80";"   1,47";"   1,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA (420271)";"Médico Hospitalar";"Pequeno";"60";"89";"   6,40";"   4,24";"   1,05";"   2,11";"   2,13";"   4,32";"    2,17";"    3,30";"   2,23";"   5,68";"   8,01";"   7,98";"202210";"15/11/2022 05:40:45"
"RN METROPOLITAN LTDA (414131)";"Médico Hospitalar";"Médio";"30";"25";"   9,35";"  11,00";"  13,21";"  13,94";"  17,26";"  16,10";"   15,21";"   14,09";"  13,16";"  13,29";"  10,64";"   9,33";"202210";"15/11/2022 05:40:45"
"SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614)";"Médico Hospitalar";"Médio";"41";"38";"   7,44";"   8,48";"   8,28";"   7,27";"   8,25";"   7,62";"    8,63";"    8,41";"   8,88";"   8,84";"  10,04";"   9,49";"202210";"15/11/2022 05:40:45"
"SAMEL PLANO DE SAÚDE LTDA (367095)";"Médico Hospitalar";"Grande";"58";"54";"   3,11";"   3,96";"   3,70";"   3,02";"   3,13";"   2,64";"    1,87";"    0,93";"   0,85";"   1,46";"   2,09";"   2,63";"202210";"15/11/2022 05:40:45"
"SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA. (415901)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SAMI ASSISTÊNCIA MÉDICA LTDA (422398)";"Médico Hospitalar";"Pequeno";"18";"23";"  28,86";"  31,30";"  30,49";"  18,70";"  16,27";"  16,86";"   16,19";"   15,33";"  10,81";"  13,92";"  15,74";"  20,53";"202210";"15/11/2022 05:40:45"
"SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA (340162)";"Médico Hospitalar";"Pequeno";"33";"35";"  16,61";"  16,69";"  15,37";"   8,46";"   9,97";"  10,05";"   10,10";"    5,78";"   2,89";"   2,90";"   7,25";"  10,18";"202210";"15/11/2022 05:40:45"
"SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA (343676)";"Médico Hospitalar";"Pequeno";"81";"84";"   3,56";"   4,48";"   3,61";"   5,45";"   8,25";"   9,23";"   12,05";"    8,36";"   8,37";"   6,53";"   9,35";"   6,56";"202210";"15/11/2022 05:40:45"
"SAMP ESPÍRITO SANTO ASSISTÊNCIA MÉDICA S.A. (342033)";"Médico Hospitalar";"Grande";"30";"32";"   6,62";"   7,33";"   6,84";"   6,47";"   6,46";"   6,69";"    6,99";"    7,35";"   6,81";"   6,59";"   6,82";"   7,70";"202210";"15/11/2022 05:40:45"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MAUÁ SAÚDE (421197)";"Médico Hospitalar";"Médio";"16";"12";"  16,53";"  18,28";"  18,37";"  14,63";"  16,64";"  15,39";"   18,50";"   19,08";"  17,81";"  16,49";"  16,63";"  17,88";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA (342807)";"Médico Hospitalar";"Médio";"95";"83";"   1,94";"   2,71";"   2,72";"   2,91";"   2,33";"   3,30";"    2,52";"    2,52";"   1,36";"   1,16";"   0,77";"   0,58";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091)";"Médico Hospitalar";"Médio";"211";"204";"0,00";"0,00";"   0,46";"   0,46";"   0,46";"0,00";"0,00";"0,00";"   0,47";"   0,46";"   0,93";"   0,46";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICORDIA DE SÃO JOSÉ DO RIO PARDO - HOSPITAL SÃO VICENTE (353264)";"Médico Hospitalar";"Pequeno";"132";"145";"   1,38";"   1,38";"   1,38";"   1,38";"   1,37";"   1,37";"    2,74";"    2,74";"   2,73";"0,00";"   1,35";"   1,35";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA (330116)";"Médico Hospitalar";"Pequeno";"139";"60";"   1,28";"   7,66";"   8,32";"   7,68";"   1,92";"   1,92";"    3,85";"    3,83";"   3,18";"   0,63";"   0,63";"   0,63";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS (344915)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SANTA CASA DE SAÚDE - SCS (420085)";"Médico Hospitalar";"Pequeno";"57";"65";"   7,07";"   7,04";"   5,61";"   2,80";"   4,20";"   6,99";"    8,35";"    6,94";"   5,54";"   2,77";"   1,38";"   1,38";"202210";"15/11/2022 05:40:45"
"SANTA HELENA ASSISTÊNCIA MÉDICA S/A. (355097)";"Médico Hospitalar";"Grande";"35";"36";"   6,09";"   6,93";"   6,95";"   7,40";"   7,69";"   8,59";"    9,24";"   10,67";"  10,70";"  10,87";"  11,75";"  12,94";"202210";"15/11/2022 05:40:45"
"SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509)";"Médico Hospitalar";"Pequeno";"16";"18";"  32,99";"  36,93";"  37,58";"  36,80";"  37,09";"  45,88";"   38,03";"   36,37";"  17,84";"  20,53";"  20,44";"  16,37";"202210";"15/11/2022 05:40:45"
"SANTA RITA SISTEMA DE SAUDE LTDA (413194)";"Médico Hospitalar";"Pequeno";"9";"9";"  97,39";" 100,73";"  88,25";"  66,91";"  51,82";"  39,59";"   25,83";"   31,03";"  26,56";"  26,94";"  19,46";"  22,54";"202210";"15/11/2022 05:40:45"
"SANTO ANDRÉ PLANOS DE ASSISTENCIA MÉDICA LTDA. (400190)";"Médico Hospitalar";"Médio";"2";"2";" 105,49";" 108,64";" 107,74";"  94,57";"  89,58";"  90,23";"   77,28";"   79,70";"  72,10";"  69,75";"  68,59";"  60,33";"202210";"15/11/2022 05:40:45"
"SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA (319180)";"Médico Hospitalar";"Pequeno";"133";"147";"   1,36";"   1,36";"   0,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,68";"   0,68";"   1,35";"202210";"15/11/2022 05:40:45"
"SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA (403962)";"Médico Hospitalar";"Médio";"68";"79";"   3,93";"   2,91";"   3,33";"   2,35";"   3,23";"   3,65";"    3,63";"    3,18";"   2,28";"   2,29";"   3,68";"   4,14";"202210";"15/11/2022 05:40:45"
"SÃO LUCAS SAÚDE S/A (344362)";"Médico Hospitalar";"Médio";"83";"87";"   2,36";"   2,49";"   2,59";"   2,93";"   3,14";"   3,69";"    3,89";"    4,78";"   4,41";"   3,94";"   3,45";"   3,84";"202210";"15/11/2022 05:40:45"
"SAUDE - SISTEMA ASSISTENCIAL UNIFICADO DE EMPRESAS - SOCIEDADE SIMPLES (410047)";"Médico Hospitalar";"Médio";"17";"13";"  15,13";"  17,75";"  19,13";"  18,86";"  22,12";"  27,06";"   25,96";"   21,86";"  20,05";"  21,60";"  22,19";"  18,47";"202210";"15/11/2022 05:40:45"
"SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA. (421154)";"Médico Hospitalar";"Médio";"6";"5";"  37,70";"  42,25";"  41,76";"  37,65";"  37,58";"  45,40";"   53,68";"   57,90";"  55,86";"  48,24";"  45,65";"  44,79";"202210";"15/11/2022 05:40:45"
"SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,91";"   0,91";"   1,84";"    1,85";"    1,86";"   0,93";"0,00";"   0,94";"   0,94";"202210";"15/11/2022 05:40:45"
"SAUDE CASSEB ASSISTENCIA MEDICA LTDA (418781)";"Médico Hospitalar";"Pequeno";"43";"29";"  11,37";"  22,72";"  20,03";"  41,06";" 109,89";" 294,76";"  227,10";"  191,87";" 102,80";"  90,94";"  87,66";"  89,32";"202210";"15/11/2022 05:40:45"
"SAUDE PAS - MEDICINA E ODONTO (409243)";"Médico Hospitalar";"Médio";"135";"138";"   1,25";"   1,26";"0,00";"0,00";"0,00";"   0,85";"    0,85";"    0,85";"   0,85";"   1,28";"   1,28";"   0,43";"202210";"15/11/2022 05:40:45"
"SAÚDE SANTA TEREZA LTDA. (414930)";"Médico Hospitalar";"Médio";"178";"137";"   0,43";"   1,29";"   2,56";"   2,55";"   1,70";"   0,86";"    0,43";"    0,43";"   0,43";"   0,43";"   1,74";"   1,30";"202210";"15/11/2022 05:40:45"
"SBC SAÚDE LTDA. (412058)";"Médico Hospitalar";"Pequeno";"53";"81";"   7,63";"   4,60";"   1,54";"0,00";"   4,66";"   4,67";"    6,29";"    1,61";"   1,64";"0,00";"0,00";"   1,75";"202210";"15/11/2022 05:40:45"
"SD-M OPERADORA DE PLANOS DE SAUDE LTDA (421634)";"Médico Hospitalar";"Pequeno";"177";"188";"0,00";"   0,60";"   1,20";"   1,23";"   0,64";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SEPACO SAÚDE LTDA (407224)";"Médico Hospitalar";"Pequeno";"10";"12";"  68,18";"  55,40";"  14,02";"  14,14";"  14,17";"  14,16";"0,00";"   42,47";"  42,43";"  42,25";"  14,09";"  28,24";"202210";"15/11/2022 05:40:45"
"SERMED-SAÚDE LTDA. (303739)";"Médico Hospitalar";"Médio";"151";"167";"   0,90";"   0,60";"   0,61";"   0,93";"   1,25";"   1,27";"    0,81";"    1,33";"   1,01";"   1,36";"   0,50";"   0,66";"202210";"15/11/2022 05:40:45"
"SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO) (345474)";"Médico Hospitalar";"Médio";"96";"69";"   1,93";"   3,86";"   3,84";"   3,83";"   2,38";"   3,32";"    4,25";"    5,17";"   3,74";"   2,78";"   3,22";"   5,49";"202210";"15/11/2022 05:40:45"
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO (420077)";"Médico Hospitalar";"Médio";"121";"115";"   1,45";"   1,73";"   1,73";"   1,16";"   1,02";"   1,31";"    1,31";"    1,14";"   0,85";"   0,85";"   0,86";"   1,29";"202210";"15/11/2022 05:40:45"
"SIM - CAIXA DE ASSISTÊNCIA À SAÚDE (356476)";"Médico Hospitalar";"Pequeno";"125";"137";"   1,53";"   1,52";"   2,01";"   3,49";"   3,47";"   3,44";"    2,91";"    2,88";"   1,90";"   1,42";"   1,41";"   2,35";"202210";"15/11/2022 05:40:45"
"SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL (361011)";"Médico Hospitalar";"Médio";"107";"80";"   1,76";"   2,84";"   3,57";"   3,23";"   2,54";"   1,84";"    1,48";"    0,37";"   0,75";"   0,75";"   1,90";"   1,15";"202210";"15/11/2022 05:40:45"
"SISTEMA TOTAL DE SAÚDE LTDA. (402001)";"Médico Hospitalar";"Pequeno";"177";"162";"0,00";"   1,07";"   1,06";"   2,11";"   1,05";"   2,10";"    1,04";"    2,07";"   1,03";"   2,06";"   1,03";"   1,03";"202210";"15/11/2022 05:40:45"
"SISTEMAS E PLANOS DE SAÚDE LTDA. (352586)";"Médico Hospitalar";"Médio";"73";"76";"   3,01";"   3,12";"   2,72";"   1,94";"   2,32";"   2,32";"    4,66";"    5,80";"   6,05";"   4,69";"   3,72";"   3,94";"202210";"15/11/2022 05:40:45"
"SOBAM CENTRO MÉDICO HOSPITALAR S.A. (326500)";"Médico Hospitalar";"Grande";"69";"66";"   2,30";"   2,99";"   3,10";"   3,91";"   4,33";"   5,04";"    4,65";"    4,76";"   4,05";"   3,62";"   3,30";"   3,94";"202210";"15/11/2022 05:40:45"
"SOCIEDADE BENECAP DE ASSISTÊNCIA À SAÚDE (415898)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,82";"   2,83";"   4,25";"   2,84";"   2,84";"202210";"15/11/2022 05:40:45"
"SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA (411809)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372)";"Médico Hospitalar";"Pequeno";"123";"129";"   1,67";"   1,67";"   1,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"SOCIEDADE PORTUGUESA DE BENEFICENCIA (422762)";"Médico Hospitalar";"Pequeno";"35";"17";"  16,34";"  37,20";"  41,04";"  21,22";"0,00";"0,00";"0,00";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
